recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
458,Sphenarches zanclistes,,465332,Pterophoroidea,Pterophoridae,Pterophorinae,Oxyptilini,,Sphenarches
459,Speiredonia mutabilis,,347264,Noctuoidea,Erebidae,Erebinae,Hulodini,,Speiredonia
460,Spaniocentra pannosa,,787525,Geometroidea,Geometridae,Geometrinae,,,Spaniocentra
461,Sommeria insulana,,914535,Noctuoidea,Erebidae,Aganainae,,,Sommeria
462,Somatina anthophilata,,324609,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Somatina
463,Serrodes partita,Catapult Moth,518637,Noctuoidea,Erebidae,Erebinae,Cocytiini,,Serrodes
464,Selepa celtis,,371206,Noctuoidea,Nolidae,Eligminae,,,Selepa
465,Secusio strigata,,567404,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Secusio
466,Scopula deliciosaria,,1077165,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
467,Savara pallidapex,,883813,Noctuoidea,Erebidae,Scoliopteryginae,Scoliopterygini,,Savara
468,Sauris malaca,,494274,Geometroidea,Geometridae,Larentiinae,Trichopterygini,,Sauris
469,Sangatissa subcurvifera,,1013531,Bombycoidea,Eupterotidae,,,,Sangatissa
470,Ruttellerona pseudocessaria,,124256,Geometroidea,Geometridae,Ennominae,Boarmiini,,Ruttellerona
471,Ruttellerona cessaria,,878525,Geometroidea,Geometridae,Ennominae,Boarmiini,,Ruttellerona
472,Rusicada combinans,,558163,Noctuoidea,Erebidae,Scoliopteryginae,Anomini,,Rusicada
473,Rosama auritracta,,244115,Noctuoidea,Notodontidae,Spataliinae,Spataliini,,Rosama
474,Risoba repugnans,,631525,Noctuoidea,Nolidae,Risobinae,,,Risoba
475,Rhombophylla rectimarginata,,873944,Geometroidea,Uraniidae,Epipleminae,,,Rhombophylla
476,Ramadasa pavo,,204809,Noctuoidea,Noctuidae,Bagisarinae,,,Ramadasa
477,Rajendra perrottetii,,855334,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Rajendra
478,Racotis keralaria,,1239164,Geometroidea,Geometridae,Ennominae,Boarmiini,,Racotis
479,Pyralis pictalis,Painted Meal Moth,124756,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Pyralis
480,Psilalcis breta,,706603,Geometroidea,Geometridae,Ennominae,Boarmiini,,Psilalcis
481,Psilalcis bisinuata,,968933,Geometroidea,Geometridae,Ennominae,Boarmiini,,Psilalcis
482,Protuliocnemis biplagiata,,244733,Geometroidea,Geometridae,Geometrinae,Comibaenini,,Protuliocnemis
483,Polynesia sunandava,,461130,Geometroidea,Geometridae,Larentiinae,Eupitheciini,,Polynesia
484,Polydesma boarmoides,,244072,Noctuoidea,Erebidae,Erebinae,Pandesmini,,Polydesma
485,Plecoptera quaesita,,775881,Noctuoidea,Erebidae,Anobinae,,,Plecoptera
486,Platyja ciacula,,372666,Noctuoidea,Erebidae,Erebinae,,,Platyja
487,Platycerota vitticostata,,243610,Geometroidea,Geometridae,Ennominae,Baptini,,Platycerota
488,Pingasa ruginaria,,199157,Geometroidea,Geometridae,Geometrinae,Pseudoterpnini,,Pingasa
489,Pindara illibata,,340847,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Pindara
490,Pilocrocis milvinalis,,480117,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Pilocrocis
491,Picrostomastis subrosealis,,417700,Thyridoidea,Thyrididae,Siculodinae,,,Picrostomastis
492,Phazaca leucocera,,470644,Geometroidea,Uraniidae,Epipleminae,,,Phazaca
493,Phalera grotei,Grote's Buff-tip,124292,Noctuoidea,Notodontidae,Phalerinae,,,Phalera
494,Petelia distracta,,712184,Geometroidea,Geometridae,Ennominae,Caberini,,Petelia
495,Perixera illepidaria,,203950,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,,Perixera
496,Perixera decretarioides,,203947,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,,Perixera
497,Parapoynx diminutalis,Hydrilla Leafcutter Moth,205731,Pyraloidea,Crambidae,Acentropinae,,,Parapoynx
498,Parapoynx crisonalis,,522970,Pyraloidea,Crambidae,Acentropinae,,,Parapoynx
499,Paracymoriza vagalis,,121889,Pyraloidea,Crambidae,Acentropinae,,,Paracymoriza
500,Paracymoriza olivalis,,1125181,Pyraloidea,Crambidae,Acentropinae,,,Paracymoriza
501,Pantana substrigosa,,1198097,Noctuoidea,Erebidae,Lymantriinae,Orgyiini,,Pantana
502,Palpita annulifer,,176116,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Palpita
503,Ozola minor,,343791,Geometroidea,Geometridae,Desmobathrinae,,,Ozola
504,Oxyodes scrobiculata,Longan Semi-looper,205289,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Oxyodes
505,Oxaenanus brontesalis,,703642,Noctuoidea,Erebidae,Herminiinae,,,Oxaenanus
506,Orvasca bicolor,,564339,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Orvasca
507,Orthaga exvinacea,,708416,Pyraloidea,Pyralidae,Epipaschiinae,,,Orthaga
508,Orphanostigma abruptalis,,244883,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Orphanostigma
509,Oreta extensa,,210963,Drepanoidea,Drepanidae,Oretinae,Oretini,,Oreta
510,Ophthalmitis caritaria,,124239,Geometroidea,Geometridae,Ennominae,Boarmiini,,Ophthalmitis
511,Omphisa repetitalis,,701957,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Omphisa
512,Olepa clavatus,Olepa Moth,203893,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Olepa
513,Olene dudgeoni,,632481,Noctuoidea,Erebidae,Lymantriinae,Orgyiini,,Olene
514,Oenospila flavifusata,,630910,Geometroidea,Geometridae,Geometrinae,,,Oenospila
515,Ocinara albicollis,,319474,Bombycoidea,Bombycidae,Bombycinae,,,Ocinara
516,Nygmia plana,Yellow Tussok Moth,201821,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Nygmia
517,Nyctemera hampsoni,,974730,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pericopina,Nyctemera
518,Nosophora dispilalis,,901111,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Nosophora
519,Nolasena ferrifervens,,320639,Noctuoidea,Erebidae,Hypeninae,,,Nolasena
520,Noctuelia dichroalis,,776800,Pyraloidea,Crambidae,Odontiinae,Odontiini,,Noctuelia
521,Neochera inops,,124039,Noctuoidea,Erebidae,Aganainae,,,Neochera
522,Negeta contrariata,,362713,Noctuoidea,Nolidae,Westermanniinae,,,Negeta
523,Musotima suffusalis,,321674,Pyraloidea,Crambidae,Musotiminae,,,Musotima
524,Mosara apicalis,,465435,Noctuoidea,Noctuidae,Aediinae,,,Mosara
525,Miltochrista conjunctana,,985205,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Miltochrista
526,Microloxia indecretata,,829759,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Microloxia
527,Microloxia herbaria,,467232,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Microloxia
528,Metanastria hyrtaca,Hairy Caterpillar,318438,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Pinarini,,Metanastria
529,Mecodina diastriga,,497028,Noctuoidea,Erebidae,Aganainae,,,Mecodina
530,Maurilia iconica,,519469,Noctuoidea,Nolidae,Chloephorinae,Careini,,Maurilia
531,Massepha absolutalis,,735826,Pyraloidea,Crambidae,Spilomelinae,,,Massepha
532,Maruca amboinalis,,509801,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Maruca
533,Maliattha ruptifascia,,703248,Noctuoidea,Noctuidae,Eustrotiinae,,,Maliattha
534,Maguda suffusa,,324091,Noctuoidea,Erebidae,Boletobiinae,Boletobiini,,Maguda
535,Macroglossum particolor,Cinereous Hummingbird Hawkmoth,541801,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Macroglossum
536,Macroglossum neotroglodytus,Purple Dwarf Hummingbird Hawk Moth,541471,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Macroglossum
537,Macotasa orientalis,,928295,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Macotasa
538,Lymantria todara,,878417,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
539,Lymantria monacha,Black Arches,224214,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
540,Lymantria mathura,Rosy Lymantria,55246,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
541,Lymantria incerta,,602324,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
542,Lymantria dispar,LD Moth,47802,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
543,Lymantria aryama,,630874,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
544,Lygropia distorta,,904452,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Lygropia
